,species,alpha,ini,cost,success
497,PV,1.0,"[1.2750442567855267, -1.0223025429008887]",1.537081973706822,True
498,PV,1.0,"[0.8018135718648278, -1.888465949387544]",1.5370819737068189,True
499,PV,1.0,"[0.6013374519653201, -1.5685619808430529]",1.5370819737068206,True
500,PV,3.0,"[1.751051630467653, -0.7246930423351403]",1.8325671916432198,True
501,PV,3.0,"[1.3458228426760899, -1.2228656005150382]",1.8326820342603471,True
502,PV,3.0,"[1.9871288484875371, -1.3573001326799654]",1.8326787031052256,True
503,PV,3.0,"[1.8944982183940007, -1.9430772432281715]",1.832431051207096,True
504,PV,3.0,"[1.6422671299097746, -1.4896225341371667]",1.8324308172305492,True
505,PV,3.0,"[0.7543407880094254, -0.41695235121435137]",1.9972857485089215,True
506,PV,3.0,"[0.45880708337599574, -0.5418456798756592]",1.9972857075489159,True
507,PV,3.0,"[0.5843882627776176, -1.1357870449636507]",1.9972920971366757,True
508,PV,3.0,"[1.0375966601709323, -0.05862822091645126]",1.8326816892118651,True
509,PV,3.0,"[0.9861037634676985, -0.16199748570724215]",1.9972857485088815,True
510,PV,3.0,"[0.3915466579689513, -0.8582867687454152]",1.9972869773035236,True
511,PV,3.0,"[1.1132517660923897, -0.21703947340502916]",1.832677992715728,True
512,PV,3.0,"[0.24175481539699342, -0.3720994256033143]",1.8734614518921484,False
513,PV,3.0,"[0.17082813259505475, -0.9252519204649086]",1.9972857485088984,True
514,PV,3.0,"[0.0675156939645129, -1.6120946272257766]",1.832684644890512,True
515,PV,3.0,"[1.5864106382073104, -0.6354092235180917]",1.8326339600720278,True
516,PV,3.0,"[1.4697094461617475, -1.7596068149577517]",1.8339380324015455,True
517,PV,3.0,"[1.2750442567855267, -1.0223025429008887]",1.8326625568811519,True
518,PV,3.0,"[0.8018135718648278, -1.888465949387544]",1.8339188938575564,True
519,PV,3.0,"[0.6013374519653201, -1.5685619808430529]",1.9972857485089501,True
520,PV,10.0,"[1.751051630467653, -0.7246930423351403]",1.8327806514280716,True
521,PV,10.0,"[1.3458228426760899, -1.2228656005150382]",1.8326730833798066,True
522,PV,10.0,"[1.9871288484875371, -1.3573001326799654]",1.832669874586709,True
523,PV,10.0,"[1.8944982183940007, -1.9430772432281715]",1.833817391735442,True
524,PV,10.0,"[1.6422671299097746, -1.4896225341371667]",1.832780630074038,True
525,PV,10.0,"[0.7543407880094254, -0.41695235121435137]",1.8326793064734737,True
526,PV,10.0,"[0.45880708337599574, -0.5418456798756592]",1.8326805100809396,True
527,PV,10.0,"[0.5843882627776176, -1.1357870449636507]",1.8339481680322807,True
528,PV,10.0,"[1.0375966601709323, -0.05862822091645126]",1.8326771015439536,True
529,PV,10.0,"[0.9861037634676985, -0.16199748570724215]",1.8339411815450426,True
530,PV,10.0,"[0.3915466579689513, -0.8582867687454152]",1.8403456764115986,True
531,PV,10.0,"[1.1132517660923897, -0.21703947340502916]",1.8327756240614381,True
532,PV,10.0,"[0.24175481539699342, -0.3720994256033143]",1.8327605013549615,True
533,PV,10.0,"[0.17082813259505475, -0.9252519204649086]",1.8403430959191913,True
534,PV,10.0,"[0.0675156939645129, -1.6120946272257766]",1.8328029223493318,True
535,PV,10.0,"[1.5864106382073104, -0.6354092235180917]",1.8403466056901572,True
536,PV,10.0,"[1.4697094461617475, -1.7596068149577517]",1.8339381679143771,True
537,PV,10.0,"[1.2750442567855267, -1.0223025429008887]",1.8403519420707555,True
538,PV,10.0,"[0.8018135718648278, -1.888465949387544]",1.8339380752758927,True
539,PV,10.0,"[0.6013374519653201, -1.5685619808430529]",1.8327826087137655,True
540,CA,0.001,"[1.751051630467653, -0.7246930423351403]",0.06791730241655998,True
541,CA,0.001,"[1.3458228426760899, -1.2228656005150382]",0.06791730241656001,True
542,CA,0.001,"[1.9871288484875371, -1.3573001326799654]",0.06791730241655938,True
543,CA,0.001,"[1.8944982183940007, -1.9430772432281715]",0.06791730241655987,True
