Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
0,CD_DP_CH,1,0.001833333333333,0.001833333333333,0,0,0,0.001833333333333,0,0,0,0
0,CD_DP_CH,2,0.001833333333333,0.001833333333333,0,0,0,0.001833333333333,0,0,0,0
0,CD_DP_CH,3,0.001833333333333,0.001833333333333,0,0,0,0.001833333333333,0,0,0,0
0,CD_DP_BU,1,0.001833333333333,0.001833333333333,0,0,0,0,0.001833333333333,0,0,0
0,CD_DP_BU,2,0.001833333333333,0.001833333333333,0,0,0,0,0.001833333333333,0,0,0
0,CD_DP_BU,3,0.001833333333333,0.001833333333333,0,0,0,0,0.001833333333333,0,0,0
0,CD_DP_BT,1,0.001833333333333,0.001833333333333,0,0,0,0,0,0.001833333333333,0,0
0,CD_DP_BT,2,0.001833333333333,0.001833333333333,0,0,0,0,0,0.001833333333333,0,0
0,CD_DP_BT,3,0.001833333333333,0.001833333333333,0,0,0,0,0,0.001833333333333,0,0
0,CD_DP_PV,1,0.001833333333333,0.001833333333333,0,0,0,0,0,0,0.001833333333333,0
0,CD_DP_PV,2,0.001833333333333,0.001833333333333,0,0,0,0,0,0,0.001833333333333,0
0,CD_DP_PV,3,0.001833333333333,0.001833333333333,0,0,0,0,0,0,0.001833333333333,0
0,CD_DP_EL,1,0.001833333333333,0.001833333333333,0,0,0,0,0,0,0,0.001833333333333
0,CD_DP_EL,2,0.001833333333333,0.001833333333333,0,0,0,0,0,0,0,0.001833333333333
0,CD_DP_EL,3,0.001833333333333,0.001833333333333,0,0,0,0,0,0,0,0.001833333333333
0,CD_CA_PC,1,0.001833333333333,0,0.001833333333333,0.001833333333333,0,0,0,0,0,0
0,CD_CA_PC,2,0.001833333333333,0,0.001833333333333,0.001833333333333,0,0,0,0,0,0
0,CD_CA_PC,3,0.001833333333333,0,0.001833333333333,0.001833333333333,0,0,0,0,0,0
0,CD_CA_CS,1,0.001833333333333,0,0.001833333333333,0,0.001833333333333,0,0,0,0,0
0,CD_CA_CS,2,0.001833333333333,0,0.001833333333333,0,0.001833333333333,0,0,0,0,0
0,CD_CA_CS,3,0.001833333333333,0,0.001833333333333,0,0.001833333333333,0,0,0,0,0
0,CD_CA_CH,1,0.001833333333333,0,0.001833333333333,0,0,0.001833333333333,0,0,0,0
0,CD_CA_CH,2,0.001833333333333,0,0.001833333333333,0,0,0.001833333333333,0,0,0,0
0,CD_CA_CH,3,0.001833333333333,0,0.001833333333333,0,0,0.001833333333333,0,0,0,0
0,CD_CA_BU,1,0.001833333333333,0,0.001833333333333,0,0,0,0.001833333333333,0,0,0
0,CD_CA_BU,2,0.001833333333333,0,0.001833333333333,0,0,0,0.001833333333333,0,0,0
