Treatments,Time,CD,CA,EL,DP,BU,PV,CDEVO
DP_2,0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0,0.0
DP_2,1,0.0,0.0,0.0,0.258733342,0.0,0.0,0.0
DP_2,2,0.0,0.0,0.0,0.15236667,0.0,0.0,0.0
DP_2,3,0.0,0.0,0.0,0.220300004,0.0,0.0,0.0
DP_2,4,0.0,0.0,0.0,0.305500001,0.0,0.0,0.0
DP_2,5,0.0,0.0,0.0,0.22146666,0.0,0.0,0.0
DP_2,6,0.0,0.0,0.0,0.226600014,0.0,0.0,0.0
DP_2,7,0.0,0.0,0.0,0.227366671,0.0,0.0,0.0
DP_2,8,0.0,0.0,0.0,0.237533336,0.0,0.0,0.0
DP_3,0,0.0,0.0,0.0,0.21999999999999997,0.0,0.0,0.0
DP_3,1,0.0,0.0,0.0,0.264633338,0.0,0.0,0.0
DP_3,2,0.0,0.0,0.0,0.147766667,0.0,0.0,0.0
DP_3,3,0.0,0.0,0.0,0.203899994,0.0,0.0,0.0
DP_3,4,0.0,0.0,0.0,0.284000009,0.0,0.0,0.0
DP_3,5,0.0,0.0,0.0,0.194066674,0.0,0.0,0.0
DP_3,6,0.0,0.0,0.0,0.185899995,0.0,0.0,0.0
DP_3,7,0.0,0.0,0.0,0.217266664,0.0,0.0,0.0
DP_3,8,0.0,0.0,0.0,0.215233331,0.0,0.0,0.0
EL_1,0,0.0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0
EL_1,1,0.0,0.0,0.347933332,0.0,0.0,0.0,0.0
EL_1,2,0.0,0.0,0.307666662,0.0,0.0,0.0,0.0
EL_1,3,0.0,0.0,0.320299998,0.0,0.0,0.0,0.0
EL_1,4,0.0,0.0,0.378100008,0.0,0.0,0.0,0.0
EL_1,5,0.0,0.0,0.31886667,0.0,0.0,0.0,0.0
EL_1,6,0.0,0.0,0.309999995,0.0,0.0,0.0,0.0
EL_1,7,0.0,0.0,0.290866658,0.0,0.0,0.0,0.0
EL_1,8,0.0,0.0,0.300633346,0.0,0.0,0.0,0.0
EL_2,0,0.0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0
EL_2,1,0.0,0.0,0.346433322,0.0,0.0,0.0,0.0
EL_2,2,0.0,0.0,0.298666659,0.0,0.0,0.0,0.0
EL_2,3,0.0,0.0,0.309600011,0.0,0.0,0.0,0.0
EL_2,4,0.0,0.0,0.391900003,0.0,0.0,0.0,0.0
EL_2,5,0.0,0.0,0.313766658,0.0,0.0,0.0,0.0
EL_2,6,0.0,0.0,0.343800001,0.0,0.0,0.0,0.0
EL_2,7,0.0,0.0,0.300166652,0.0,0.0,0.0,0.0
EL_2,8,0.0,0.0,0.292233323,0.0,0.0,0.0,0.0
EL_3,0,0.0,0.0,0.21999999999999997,0.0,0.0,0.0,0.0
EL_3,1,0.0,0.0,0.362433324,0.0,0.0,0.0,0.0
EL_3,2,0.0,0.0,0.300666663,0.0,0.0,0.0,0.0
EL_3,3,0.0,0.0,0.295999989,0.0,0.0,0.0,0.0
EL_3,4,0.0,0.0,0.38350001,0.0,0.0,0.0,0.0
EL_3,5,0.0,0.0,0.314766675,0.0,0.0,0.0,0.0
EL_3,6,0.0,0.0,0.34080001,0.0,0.0,0.0,0.0
EL_3,7,0.0,0.0,0.375666663,0.0,0.0,0.0,0.0
EL_3,8,0.0,0.0,0.311533337,0.0,0.0,0.0,0.0
PV_1,0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0
PV_1,1,0.0,0.0,0.0,0.0,0.0,0.989233385,0.0
PV_1,2,0.0,0.0,0.0,0.0,0.0,1.138166609,0.0
PV_1,3,0.0,0.0,0.0,0.0,0.0,1.185000017,0.0
PV_1,4,0.0,0.0,0.0,0.0,0.0,1.288900018,0.0
PV_1,5,0.0,0.0,0.0,0.0,0.0,1.189666659,0.0
PV_1,6,0.0,0.0,0.0,0.0,0.0,1.183999978,0.0
PV_1,7,0.0,0.0,0.0,0.0,0.0,1.241766647,0.0
PV_1,8,0.0,0.0,0.0,0.0,0.0,1.242733305,0.0
PV_2,0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0
PV_2,1,0.0,0.0,0.0,0.0,0.0,0.958533297,0.0
PV_2,2,0.0,0.0,0.0,0.0,0.0,1.142766657,0.0
PV_2,3,0.0,0.0,0.0,0.0,0.0,1.194599941,0.0
PV_2,4,0.0,0.0,0.0,0.0,0.0,1.289399981,0.0
PV_2,5,0.0,0.0,0.0,0.0,0.0,1.141366631,0.0
PV_2,6,0.0,0.0,0.0,0.0,0.0,1.131499968,0.0
PV_2,7,0.0,0.0,0.0,0.0,0.0,1.254666641,0.0
PV_2,8,0.0,0.0,0.0,0.0,0.0,1.282733386,0.0
PV_3,0,0.0,0.0,0.0,0.0,0.0,0.21999999999999997,0.0
PV_3,1,0.0,0.0,0.0,0.0,0.0,0.897633324,0.0
PV_3,2,0.0,0.0,0.0,0.0,0.0,1.132766667,0.0
PV_3,3,0.0,0.0,0.0,0.0,0.0,1.128599957,0.0
PV_3,4,0.0,0.0,0.0,0.0,0.0,1.280400038,0.0
PV_3,5,0.0,0.0,0.0,0.0,0.0,1.26546672,0.0
PV_3,6,0.0,0.0,0.0,0.0,0.0,1.174400054,0.0
PV_3,7,0.0,0.0,0.0,0.0,0.0,1.255466655,0.0
PV_3,8,0.0,0.0,0.0,0.0,0.0,1.253533309,0.0
