Time,Sample,Replicate,CD,DP,CA,PC,CS,CH,BU,BT,PV,EL
1,CD_CA_PC,1,0.420608588,0,0.076465728,0.220592325,0,0,0,0,0,0
1,CD_CA_PC,2,0.398931725,0,0.076746579,0.198688364,0,0,0,0,0,0
1,CD_CA_PC,3,0.426465036,0,0.054639949,0.23586166,0,0,0,0,0,0
7,CD_CA_PC,2,0.415987975,0,0.05791329,0.298065376,0,0,0,0,0,0
14,CD_CA_PC,2,0.001092249,0,0.739088615,0.265052469,0,0,0,0,0,0
21,CD_CA_PC,2,0.0019,0,0.0043,0.0001,0,0,0,0,0,0
28,CD_CA_PC,2,-0.000232,0,-0.002088001,-0.00058,0,0,0,0,0,0
35,CD_CA_PC,2,0.004318579,0,0.018508195,0.014806556,0,0,0,0,0,0
0,CD_CA_PV,1,0.001833333,0,0.001833333,0,0,0,0,0,0.001833333,0
0,CD_CA_PV,2,0.001833333,0,0.001833333,0,0,0,0,0,0.001833333,0
0,CD_CA_PV,3,0.001833333,0,0.001833333,0,0,0,0,0,0.001833333,0
1,CD_CA_PV,1,0.864055856,0,0.287328997,0,0,0,0,0,0.246681862,0
1,CD_CA_PV,2,0.867011998,0,0.2969341,0,0,0,0,0,0.229120622,0
1,CD_CA_PV,3,0.869758731,0,0.237342714,0,0,0,0,0,0.279165219,0
7,CD_CA_PV,1,0.110260687,0,0.557574561,0,0,0,0,0,0.393731467,0
7,CD_CA_PV,2,0.107711204,0,0.594990731,0,0,0,0,0,0.359164711,0
7,CD_CA_PV,3,0.142170329,0,0.575880253,0,0,0,0,0,0.332716129,0
14,CD_CA_PV,1,0.17372687,0,1.221415715,0,0,0,0,0,0.069490748,0
14,CD_CA_PV,2,0.116746245,0,1.234301904,0,0,0,0,0,0.187685185,0
21,CD_CA_PV,1,0.398828557,0,1.027379793,0,0,0,0,0,0.08589165,0
21,CD_CA_PV,2,0.164071482,0,1.060489775,0,0,0,0,0,0.216738744,0
28,CD_CA_PV,1,0.229746348,0,0.972531851,0,0,0,0,0,0.019221806,0
35,CD_CA_PV,1,0.156123962,0,1.09847698,0,0,0,0,0,0.019632355,0
35,CD_CA_PV,2,0.229204132,0,1.157950444,0,0,0,0,0,0.071578699,0
0,CD_CH,1,0.00275,0,0,0,0,0.00275,0,0,0,0
0,CD_CH,2,0.00275,0,0,0,0,0.00275,0,0,0,0
0,CD_CH,3,0.00275,0,0,0,0,0.00275,0,0,0,0
1,CD_CH,1,0.340076379,0,0,0,0,0.169990264,0,0,0,0
1,CD_CH,2,0.326092884,0,0,0,0,0.148873776,0,0,0,0
1,CD_CH,3,0.270225185,0,0,0,0,0.202041504,0,0,0,0
7,CD_CH,1,0.272616746,0,0,0,0,0.001049909,0,0,0,0
