Treatments,species,true,pred,stdv,passage
CD_BT_PV,CH,0.0,0.0,0.0,22
CD_BT_PV,BU,0.0,0.0,0.0,22
CD_BT_PV,BT,1.1584608553333333,1.0520053406910135,0.027858154218720753,22
CD_BT_PV,PV,0.00010859933333333334,0.0075496176298475715,0.012370918670606105,22
CD_BT_PV,EL,0.0,0.0,0.0,22
CD_BT_PV,CD,0.0004690953333333333,0.053397975507267735,0.043842394022386724,29
CD_BT_PV,DP,0.0,0.0,0.0,29
CD_BT_PV,CA,0.0,0.0,0.0,29
CD_BT_PV,PC,0.0,0.0,0.0,29
CD_BT_PV,CS,0.0,0.0,0.0,29
CD_BT_PV,CH,0.0,0.0,0.0,29
CD_BT_PV,BU,0.0,0.0,0.0,29
CD_BT_PV,BT,1.0178975643333334,1.0520501236309021,0.027847994740351094,29
CD_BT_PV,PV,0.0,0.007514276419593708,0.012393447213347411,29
CD_BT_PV,EL,0.0,0.0,0.0,29
CD_BT_PV,CD,6.1849e-5,0.053370283303182824,0.04387685211098284,36
CD_BT_PV,DP,0.0,0.0,0.0,36
CD_BT_PV,CA,0.0,0.0,0.0,36
CD_BT_PV,PC,0.0,0.0,0.0,36
CD_BT_PV,CS,0.0,0.0,0.0,36
CD_BT_PV,CH,0.0,0.0,0.0,36
CD_BT_PV,BU,0.0,0.0,0.0,36
CD_BT_PV,BT,1.0075714343333333,1.0520677912712662,0.027840271442300543,36
CD_BT_PV,PV,0.0,0.007504234347263724,0.012399992984739162,36
CD_BT_PV,EL,0.0,0.0,0.0,36
CD_BU,CD,0.0027500000000000003,0.0027499999999999994,9.059297892880886e-19,1
CD_BU,DP,0.0,0.0,0.0,1
CD_BU,CA,0.0,0.0,0.0,1
CD_BU,PC,0.0,0.0,0.0,1
CD_BU,CS,0.0,0.0,0.0,1
CD_BU,CH,0.0,0.0,0.0,1
CD_BU,BU,0.0027500000000000003,0.0027499999999999994,9.059297892880886e-19,1
CD_BU,BT,0.0,0.0,0.0,1
CD_BU,PV,0.0,0.0,0.0,1
CD_BU,EL,0.0,0.0,0.0,1
CD_BU,CD,0.49038700466666674,0.18799857019936161,0.07610601260734294,2
CD_BU,DP,0.0,0.0,0.0,2
CD_BU,CA,0.0,0.0,0.0,2
CD_BU,PC,0.0,0.0,0.0,2
CD_BU,CS,0.0,0.0,0.0,2
CD_BU,CH,0.0,0.0,0.0,2
